candidate_accuracy,candidate_correct,candidate_only,candidate_vs_c0_delta_pp,candidate_vs_legacy_delta_pp,candidate_wilson_high,candidate_wilson_low,confirmatory,legacy_accuracy,legacy_correct,legacy_only,legacy_wilson_high,legacy_wilson_low,mcnemar_exact_p_raw,mcnemar_p_holm,n,pack,paired_ci_high_pp,paired_ci_low_pp,query_family
0.9906976744186047,213,10,0.0,3.7209302325581395,0.9974452489293104,0.9667230633139425,False,0.9534883720930233,205,2,0.9745424955776161,0.9165135275855798,0.03857421875,0.34716796875,215,clean_holdout_natural,6.976744186046512,0.9302325581395349,ate
0.8666666666666667,13,1,0.0,6.666666666666667,0.9626387408969346,0.6211801716767764,False,0.8,12,0,0.9295245065301844,0.5481455128483065,1.0,1.0,15,clean_holdout_natural,20.0,0.0,backadj
0.5263157894736842,10,0,0.0,-42.10526315789473,0.7267019483882042,0.3170780924511316,False,0.9473684210526315,18,8,0.9906480059376995,0.753612688331012,0.0078125,0.078125,19,clean_holdout_natural,-21.052631578947366,-63.1578947368421,collider_bias
0.9811320754716981,156,0,0.0,-1.257861635220126,0.9935627890311809,0.9460013803642149,False,0.9937106918238994,158,2,0.9988889185966789,0.965239019933237,0.5,1.0,159,clean_holdout_natural,0.0,-3.1446540880503147,correlation
0.9484536082474226,92,6,0.0,4.123711340206185,0.9777839489624893,0.8849564458853718,False,0.9072164948453608,88,2,0.9504167815185518,0.8329911632283566,0.2890625,1.0,97,clean_holdout_natural,10.309278350515463,-1.0309278350515463,det-counterfactual
0.9111111111111111,123,1,0.0,-1.4814814814814816,0.9484206345259253,0.8510523827041098,False,0.9259259259259259,125,3,0.9592694584070376,0.8690133972817375,0.625,1.0,135,clean_holdout_natural,1.4814814814814816,-4.444444444444445,ett
0.9523809523809523,20,0,0.0,-4.761904761904762,0.9915440121901737,0.7733063992587743,False,1.0,21,1,1.0,0.8453609810751531,1.0,1.0,21,clean_holdout_natural,0.0,-14.285714285714285,exp_away
0.9949748743718593,198,0,0.0,0.0,0.9991123904899589,0.9720894591976937,False,0.9949748743718593,198,0,0.9991123904899589,0.9720894591976937,1.0,1.0,199,clean_holdout_natural,0.0,0.0,marginal
0.9210526315789473,35,0,0.0,-5.263157894736842,0.9727854044930122,0.7920062854222853,False,0.9736842105263158,37,2,0.9953394123142312,0.8650512388404787,0.5,1.0,38,clean_holdout_natural,0.0,-13.157894736842104,nde
0.9736842105263158,74,1,0.0,1.3157894736842104,0.9927533409248718,0.9090337890134194,False,0.9605263157894737,73,0,0.9864853649054605,0.8902521225345447,1.0,1.0,76,clean_holdout_natural,3.9473684210526314,0.0,nie
0.8,4,1,0.0,20.0,0.9637758913675698,0.37553462976252533,False,0.6,3,0,0.882379225767352,0.2307242812760128,1.0,1.0,5,structural_stress_holdout,60.0,0.0,backadj
0.16666666666666666,1,0,0.0,-66.66666666666666,0.5635028221864702,0.030053369748306635,False,0.8333333333333334,5,4,0.9699466302516935,0.43649717781352987,0.125,0.875,6,structural_stress_holdout,-33.33333333333333,-100.0,collider_bias
0.9622641509433962,51,0,0.0,-3.7735849056603774,0.9895897127241731,0.8724571280258164,False,1.0,53,2,0.9999999999999999,0.932418011423458,0.5,1.0,53,structural_stress_holdout,0.0,-9.433962264150944,correlation
0.90625,29,0,0.0,0.0,0.9675984487016337,0.7578184527161212,False,0.90625,29,0,0.9675984487016337,0.7578184527161212,1.0,1.0,32,structural_stress_holdout,0.0,0.0,det-counterfactual
0.782608695652174,36,1,0.0,0.0,0.8773909467543746,0.6442631262842105,False,0.782608695652174,36,1,0.8773909467543746,0.6442631262842105,1.0,1.0,46,structural_stress_holdout,6.521739130434782,-6.521739130434782,ett
1.0,13,0,0.0,0.0,0.9999999999999999,0.7719046276458016,False,1.0,13,0,0.9999999999999999,0.7719046276458016,1.0,1.0,13,structural_stress_holdout,0.0,0.0,nde
0.96,24,0,0.0,0.0,0.9929037664980127,0.8045593626380625,False,0.96,24,0,0.9929037664980127,0.8045593626380625,1.0,1.0,25,structural_stress_holdout,0.0,0.0,nie
