baseline_only,bootstrap_resamples,bootstrap_seed,both_correct,both_wrong,candidate_only,change_count,corrections,delta,delta_pp,incremental_revision_tokens,left_accuracy,left_arm,left_correct,mcnemar_exact_two_sided_p,neutral_changes,paired_bootstrap_ci_high,paired_bootstrap_ci_high_pp,paired_bootstrap_ci_low,paired_bootstrap_ci_low_pp,paired_n,regressions,revision_calls,right_accuracy,right_arm,right_correct,trigger_count,unsupported_or_insufficient_changes,untriggered_changes
0,10000,20260718,503,53,0,0,0,0.0,0.0,0,0.9046762589928058,C0_shared_first_pass,503,1.0,0,0.0,0.0,0.0,0.0,556,0,0,0.9046762589928058,G_exact_tool_guard,503,0,0,0
3,10000,20260718,500,53,0,3,0,-0.00539568345323741,-0.539568345323741,76577,0.9046762589928058,C0_shared_first_pass,503,0.25,0,0.0,0.0,-0.012589928057553957,-1.2589928057553956,556,3,26,0.8992805755395683,R_rowwise_revision_only,500,26,0,0
3,10000,20260718,500,53,0,3,0,-0.00539568345323741,-0.539568345323741,76577,0.9046762589928058,C0_shared_first_pass,503,0.25,0,0.0,0.0,-0.012589928057553957,-1.2589928057553956,556,3,26,0.8992805755395683,GR_guard_then_rowwise_revision,500,26,0,0
