baseline_only,bootstrap_resamples,bootstrap_seed,both_correct,both_wrong,candidate_only,comparison_role,corrections,delta,delta_pp,left_accuracy,left_arm,left_correct,mcnemar_exact_two_sided_p,pack,paired_bootstrap_ci_high,paired_bootstrap_ci_high_pp,paired_bootstrap_ci_low,paired_bootstrap_ci_low_pp,paired_n,regressions,right_accuracy,right_arm,right_correct
0,10000,20260718,934,40,0,primary_superiority,0,0.0,0.0,0.9589322381930184,C0_shared_first_pass,934,1.0,clean_holdout_natural,0.0,0.0,0.0,0.0,974,0,0.9589322381930184,C0_shared_first_pass_selected_candidate,934
20,10000,20260718,915,20,19,primary_legacy_noninferiority,19,-0.001026694045174538,-0.10266940451745381,0.9599589322381931,L_legacy_full_tools_equal_concurrency,935,1.0,clean_holdout_natural,0.011293634496919919,1.1293634496919918,-0.013347022587268994,-1.3347022587268993,974,20,0.9589322381930184,C0_shared_first_pass_selected_candidate,934
0,10000,20260718,158,22,0,stress_diagnostic,0,0.0,0.0,0.8777777777777778,C0_shared_first_pass,158,1.0,structural_stress_holdout,0.0,0.0,0.0,0.0,180,0,0.8777777777777778,C0_shared_first_pass_selected_candidate,158
7,10000,20260718,156,15,2,stress_diagnostic,2,-0.027777777777777776,-2.7777777777777777,0.9055555555555556,L_legacy_full_tools_equal_concurrency,163,0.1796875,structural_stress_holdout,0.0,0.0,-0.06111111111111111,-6.111111111111111,180,7,0.8777777777777778,C0_shared_first_pass_selected_candidate,158
